Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,BedroomAbvGr,CentralAir,GrLivArea,SalePrice,Fam,Duplex,fmCon,TwnhsE,Twnhs,GasA,Grav,GasW,Wall,HvPool,IsNewHouse,Age,Bathrooms,OtherRooms
1,4.110873864173311,9.867704922396356,5,5,1940,29.34280150224242,1.4142135623730951,1,7.02197642307216,0,1,0,0,0,0,1,0,0,0,0,0,70,1,1.5857864376269049
2,4.382026634673881,8.517393171418904,6,5,1997,24.24871130596428,1.7320508075688772,1,6.961296045910167,0,1,0,0,0,0,1,0,0,0,0,0,10,1.5,0.5040171699309126
3,4.110873864173311,9.2237500588861,8,7,1994,27.92848008753788,1.7320508075688772,1,7.340835554123275,0,1,0,0,0,0,1,0,0,0,0,0,15,1,0.9137005034957135
5,4.204692619390966,8.397508348470257,6,7,2006,34.46737587922817,2,1,7.704361167910313,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0.4494897427831779
6,4.418840607796598,8.592300663903043,7,5,1999,36.72873534441391,1.7320508075688772,1,7.575584651557793,0,1,0,0,0,0,1,0,0,0,0,0,8,2,0.9137005034957135
7,3.970291913552122,8.593413217327646,6,5,2006,34.785054261852174,1.7320508075688772,1,7.645397699428633,0,1,0,0,0,0,1,0,0,0,0,0,3,2,1.2679491924311228
8,4.219507705176107,8.853808274977197,10,5,1965,29.715315916207253,1.7320508075688772,1,6.876264611890766,0,1,0,0,0,0,1,0,0,0,0,0,44,2,0.9137005034957135
9,4.0943445622221,9.036106025364846,7,5,1915,39.93745109543172,1.7320508075688772,1,7.264730177929867,0,1,0,0,0,0,1,0,0,0,0,0,91,1,0.7174389352143007
10,4.189654742026425,9.119977931895791,6,5,1957,33.04542328371661,1.4142135623730951,1,6.580639137284949,0,1,0,0,0,0,1,0,0,0,0,0,52,1.5,1.0352761804100827
12,4.330733340286331,7.533693709848633,6,5,1952,32.92415526630866,2,1,7.094234845924755,0,1,0,0,0,0,1,0,0,0,0,0,54,2.5,0.4494897427831779
13,4.189654742026425,9.328212292571072,4,5,1966,37.22902093797257,1.7320508075688772,1,7.186144304522325,0,1,0,0,0,0,0,1,0,0,0,0,43,1.5,1.096376317177313
16,4.762173934797756,9.15704507491796,6,5,2003,29.698484809834994,1.4142135623730951,1,7.311218384419629,0,1,0,0,0,0,1,0,0,0,0,0,6,2.5,1.0352761804100827
17,4.110873864173311,9.405989388981,7,5,2003,34.292856398964496,1.7320508075688772,1,7.3031700512368,0,1,0,0,0,0,1,0,0,0,0,0,5,1.5,0.2679491924311228
19,4.875197323201151,8.832587702434553,6,6,2008,35.09985754956849,1.4142135623730951,1,7.394493107219038,0,1,0,0,0,0,1,0,0,0,0,0,-1,1.5,1.2315377486914956
21,4.02535169073515,9.291643823040218,6,5,1957,37.30951621235526,1.7320508075688772,1,7.403670290012373,0,1,0,0,0,0,1,0,0,0,0,0,52,1,1.4302268525995023
22,4.330733340286331,7.544861068658458,7,5,1994,27.80287754891569,1.4142135623730951,1,7.3613754289773485,0,0,0,1,0,0,1,0,0,0,0,0,15,1,1.2315377486914956
23,4.394449154672439,9.241935933565934,7,5,2007,25.942243542145693,1.7320508075688772,0,6.7580945044277305,0,1,0,0,0,0,1,0,0,0,0,0,-1,2.5,1.2679491924311228
24,4.189654742026425,9.309370895439137,5,4,2007,31.28897569432403,1,1,6.816735880594968,0,1,0,0,0,0,1,0,0,0,0,0,-1,1.5,1.4494897427831779
25,4.31748811353631,9.21333588095598,7,5,1920,39.93745109543172,1.7320508075688772,1,7.44716835960004,0,1,0,0,0,0,1,0,0,0,0,0,90,1.5,0.7174389352143007
26,3.5263605246161616,9.078065332666364,5,5,1978,26.832815729997478,1.7320508075688772,1,7.01571242048723,0,1,0,0,0,0,1,0,0,0,0,0,31,2,0.7174389352143007
27,3.091042453358316,9.458995712459116,4,5,1964,33.67491648096547,2,1,7.612336837167746,0,1,0,0,0,0,1,0,0,0,0,0,44,1.5,0.8284271247461903
28,4.189654742026425,9.13194630454817,7,7,2003,30.298514815086232,2,1,7.183111701743281,0,1,0,0,0,0,1,0,0,0,0,0,4,2,0.8284271247461903
32,4.418840607796598,9.559305672844863,6,6,1997,26.981475126464083,1.7320508075688772,1,7.433666540166168,0,1,0,0,0,0,1,0,0,0,0,0,12,1,0.5040171699309126
33,4.07753744390572,8.395477432732141,5,5,2005,26.19160170741759,1.4142135623730951,1,7.526178913346146,0,1,0,0,0,0,1,0,0,0,0,0,5,2,2.0498880527646595
34,4.330733340286331,9.169622538697624,7,6,2007,28.19574435974337,1.4142135623730951,1,7.077498053569231,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1.2315377486914956
35,4.2626798770413155,9.38873757187798,5,5,1976,41.46082488325576,1.7320508075688772,1,7.640603826393634,0,1,0,0,0,0,1,0,0,0,0,0,30,1,0.2679491924311228
36,4.477336814478207,9.042040056544483,5,5,1955,28.160255680657446,1.4142135623730951,1,7.417580402414544,0,1,0,0,0,0,1,0,0,0,0,0,52,2.5,1.9024112279823047
37,4.663439094112067,8.38958706681109,5,5,1981,33.95585369269929,1.7320508075688772,1,7.183111701743281,0,1,0,0,0,0,1,0,0,0,0,0,29,2,0.7174389352143007
38,4.2626798770413155,9.234154550075438,8,9,1925,25.475478405713993,1.4142135623730951,1,7.557994958530806,0,1,0,0,0,0,1,0,0,0,0,0,82,2,1.5857864376269049
39,4.110873864173311,9.105090961257085,5,5,1966,25.92296279363144,2,1,7.3796321526095525,0,1,0,0,0,0,1,0,0,0,0,0,43,2.5,0.4494897427831779
40,3.091042453358316,9.539068413863964,5,5,1966,29.88310559496787,2.23606797749979,1,7.575584651557793,0,1,0,0,0,0,1,0,0,0,0,0,41,1.5,0.5923591472464005
42,3.58351893845611,9.284519770150434,5,5,2003,20.97617696340303,1.4142135623730951,1,8.079927770758275,0,1,0,0,0,0,1,0,0,0,0,0,5,1.5,0.5857864376269049
44,3.9512437185814275,9.26321741157695,8,5,1996,21.97726097583591,1.7320508075688772,1,7.872836175025724,0,1,0,0,0,0,1,0,0,0,0,0,10,1,0.9137005034957135
45,4.709530201312334,9.074635189810808,9,6,1920,28.5657137141714,1.4142135623730951,1,7.581209826196346,0,1,0,0,0,0,1,0,0,0,0,0,87,1,1.0352761804100827
46,4.394449154672439,8.540909718033554,8,7,2004,26.795522013948524,1.7320508075688772,1,7.285506548522785,0,1,0,0,0,0,1,0,0,0,0,0,3,1.5,0.5040171699309126
47,4.3694478524670215,8.581294116822761,6,6,2006,36.701498607005135,1.4142135623730951,0,7.231287004327616,0,1,0,0,0,0,1,0,0,0,0,0,2,2,1.0352761804100827
48,4.127134385045092,9.431481920619719,7,6,2009,37.05401462729781,2,1,6.802394763324311,0,1,0,0,0,0,1,0,0,0,0,0,-1,2.5,0.6457513110645907
50,4.110873864173311,9.345220854170002,5,5,1945,44.78839135311738,1.7320508075688772,1,7.594381242551817,0,1,0,0,0,0,1,0,0,0,0,0,63,1,1.2679491924311228
51,4.143134726391533,9.204925739274683,10,8,1954,36.565010597564445,1.7320508075688772,1,7.3453648404168685,0,1,0,0,0,0,1,0,0,0,0,0,55,1,0
52,4.382026634673881,9.455088847042777,5,5,1959,35.4400902933387,1.4142135623730951,1,7.372118028337787,0,1,0,0,0,0,1,0,0,0,0,0,50,2,0.8218544151266947
53,3.9318256327243257,7.5688956634069955,6,5,1949,32.984845004941285,1.7320508075688772,1,7.665284718471351,0,1,0,0,0,0,1,0,0,0,0,0,59,1,0.5040171699309126
54,3.912023005428146,9.9874150124714145,6,5,1992,43.54308211415448,2,1,7.239214973779806,0,1,0,0,0,0,1,0,0,0,0,0,15,2.5,0.4494897427831779
55,3.9318256327243257,9.342245442856122,4,5,1993,41.060930335295616,1.7320508075688772,1,7.306531398939505,0,0,0,0,1,0,1,0,0,0,0,0,16,1,1.2679491924311228
56,4.51085950651685,9.0642735958414,7,5,2004,29.120439557122072,2,1,7.38025578842646,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0.8284271247461903
58,4.61512051684126,9.236495329453033,6,5,1952,23.68543856465402,1.4142135623730951,1,7.381501894506707,0,1,0,0,0,0,1,0,0,0,0,0,57,2,1.4142135623730951
59,4.07753744390572,8.069968149059841,4,5,2000,30.4138126514911,1.7320508075688772,1,7.789454566086673,0,1,0,0,0,0,1,0,0,0,0,0,6,1.5,0.5040171699309126
62,4.110873864173311,9.391744841707654,5,5,1994,45.58508528016593,1.7320508075688772,1,7.090076835776092,0,1,0,0,0,0,1,0,0,0,0,0,12,1.5,0.7174389352143007
63,4.127134385045092,9.47324295306374,5,7,1949,24,1.4142135623730951,1,7.183111701743281,0,1,0,0,0,0,1,0,0,0,0,0,59,2.5,1.0352761804100827
64,4.2626798770413155,9.26416545867109,7,7,1923,32.863353450309965,2,1,7.605392364814935,0,1,0,0,0,0,1,0,0,0,0,0,85,1,0.4494897427831779
65,4.2626798770413155,7.824445930877619,6,7,1971,28.77498913987632,1.7320508075688772,1,6.9167150203536085,0,1,0,0,0,0,1,0,0,0,0,0,39,2.5,0.2679491924311228
67,4.3694478524670215,8.395477432732141,5,6,2006,25.45584412271571,1.4142135623730951,1,7.543802867501509,0,0,0,1,0,0,1,0,0,0,0,0,1,1.5,1.2315377486914956
